Fallnummer;Fallbeschreibung;Rechtsprechung
8 AZR 187/23;Die Parteien streiten darüber, ob der Beklagte verpflichtet ist, die von ihm an der J-Universität W (im Folgenden Universität) ausgeschriebene Stelle einer technischen Assistenz am Institut für Pathologie mit dem Kläger zu besetzen. Der schwerbehinderte Kläger war zunächst vom 19. April 2010 bis zum 31. März 2016 auf der Grundlage von insgesamt sieben befristeten Arbeitsverträgen bei dem Universitätsklinikum W (im Folgenden Universitätsklinikum) beschäftigt. Seit dem 1. April 2016 ist er aufgrund eines zunächst bis zum 30. Juni 2019 befristeten Arbeitsvertrags mit dem Beklagten bei der Universität beschäftigt. Mit Änderungsvertrag vom 12. Juni 2019 haben die Parteien das Arbeitsverhältnis bei der Universität bis zum 30. Juni 2023 befristet verlängert. Über die Wirksamkeit dieser letzten Befristung des Arbeitsverhältnisses streiten die Parteien in einem gesonderten Verfahren. Im Januar 2022 schrieb der Beklagte eine Stelle für einen technischen Assistenten am Institut für Pathologie an der Universität für interne und externe Bewerber aus. Nach der Ausschreibung war die Stelle für zwei Jahre befristet mit der Option auf eine Vertragsverlängerung. Der Kläger bewarb sich auf diese Stelle und der Leiter des Pathologischen Instituts beantragte die Umsetzung des Klägers bei der Personalabteilung. Die Personalabteilung lehnte den Antrag auf Umsetzung des Klägers ab und führte zur Begründung aus, aufgrund der Vorbeschäftigungszeiten sei ein weiteres befristetes Arbeitsverhältnis an der Universität nicht mehr zumutbar.;
7 AZR 16/17;Orientierungssatz;1. Der unbeschränkt und vorbehaltlos gewährleistete Grundsatz der Bestenauslese aus Art 33 Abs 2 GG begründet grundrechtsgleiche Rechte auf ermessens- und beurteilungsfehlerfreie Einbeziehung in die Bewerberauswahl. Bewerbern steht deshalb bei der Besetzung von Stellen des öffentlichen Dienstes ein verfassungsrechtlicher Bewerbungsverfahrensanspruch zu. Daraus folgt angesichts der Kriterien Eignung, Befähigung und fachliche Leistung in Art 33 Abs 2 GG ein subjektives Recht jedes Bewerbers auf chancengleiche Teilnahme am Bewerbungsverfahren. Öffentliche Ämter im Sinne von Art 33 Abs 2 GG sind nicht nur Beamtenstellen, sondern auch Stellen, die ein Arbeitgeber des öffentlichen Dienstes mit Arbeitnehmern zu besetzten beabsichtigt.(Rn.16) 2. Die Vorentscheidungen, die zur Existenz eines verfügbaren öffentlichen Amtes führen, unterfallen der Organisationsgewalt des staatlichen Rechtsträgers. Ein subjektives Recht auf Ausbringung einer bestimmten Planstelle besteht nicht. Über die Einrichtung und nähere Ausgestaltung von Dienstposten entscheidet der Dienstherr nach organisatorischen Bedürfnissen und Möglichkeiten.(Rn.17)
6 AZR 126/23;Die Parteien streiten - soweit für die Revision relevant - über die Stufenzuordnung der Klägerin in der Entgeltgruppe 9b TVöD (VKA) in der Zeit vom 1. Oktober 2017 bis zum 28. Februar 2022 vor dem Hintergrund in Anspruch genommener Elternzeiten. Die Klägerin ist seit dem 1. März 2006 beim Beklagten als Sachbearbeiterin Leistungsgewährung SGB II beschäftigt. Auf das Arbeitsverhältnis finden aufgrund arbeitsvertraglicher Bezugnahme der Tarifvertrag für den öffentlichen Dienst (TVöD) in der für die kommunalen Arbeitgeber (VKA) sowie die diesen ergänzenden Tarifverträge in der jeweils geltenden Fassung Anwendung. Auf der Grundlage der Vergütungsordnung in Anlage 1a zum BAT bewertete der Beklagte die Tätigkeit der Klägerin bei ihrer Einstellung in Anwendung von § 17 Abs. 7 des Tarifvertrags zur Überleitung der Beschäftigten der kommunalen Arbeitgeber in den TVöD und zur Regelung des Übergangsrechts (TVÜ-VKA) in der bis zum 31. Dezember 2016 geltenden Fassung (iF TVÜ-VKA aF) nach der Vergütungsgruppe Vc Fallgruppe 1b Teil I der Anlage 1a zum BAT und vergütete sie entsprechend der inzwischen aufgehobenen Anlage 3 zum TVÜ-VKA aF aus der Entgeltgruppe 8.;
5 AZR 177/23;Die Parteien streiten - soweit für die Revision von Bedeutung - über Vergütung wegen Annahmeverzugs für die Zeit vom 1. Januar 2018 bis zum 30. August 2020. Der 1966 geborene Kläger ist seit dem 13. Mai 1991 bei der Beklagten bzw. deren Rechtsvorgängerin beschäftigt, zuletzt als Maschinenbeschicker. Er verfügt über keine abgeschlossene Berufsausbildung. Auf das Arbeitsverhältnis zwischen den Parteien finden die Tarifverträge der Metall- und Elektroindustrie Anwendung.;
5 AZR 205/21;Zu beachtende Normen bei Annahmeverzug;
5 AZR 30/22;Beachtung sozialrechtlicher Handlungspflichten im Rahmen einer Gesamtabwägung;
2 AZR 196/22;Die Parteien streiten über die Wirksamkeit zweier Kündigungen wegen eines Kirchenaustritts sowie damit verbundene Zahlungsansprüche. Der beklagte Verein ist ein Frauen- und Fachverband in der katholischen Kirche in Deutschland, der sich der Hilfe für Kinder, Jugendliche, Frauen und ihrer Familien in besonderen Lebenslagen widmet. Zu seinen Aufgaben gehört die Beratung von schwangeren Frauen. Für die Schwangerschaftsberatung gelten bei dem Beklagten Richtlinien, auf deren Einhaltung sich die Klägerin verpflichtet hat. Diese lauten auszugsweise: „Der Schutz des menschlichen Lebens von seinem Beginn bis zum Ende ist ein Gebot Gottes. Auf dieser Grundlage leistet die Katholische Kirche Beratung und Hilfe ... Diese Beratungstätigkeit gehört zum Selbstverständnis und zum eigenen Auftrag der Katholischen Kirche. ... Der kirchliche Einsatz für den Schutz des ungeborenen Lebens und das Angebot zur Beratung und Hilfe für schwangere Frauen in Not- und Konfliktsituationen werden auch weiterhin aufrechterhalten. …;
1 AZR 74/23;Die Parteien streiten über eine Prämie. Die Beklagte betreibt in V ein Krankenhaus mit verschiedenen somatischen Fachabteilungen, deren Leistungen nach dem Krankenhausentgeltgesetz (KHEntgG) auf der Grundlage diagnosebezogener Fallpauschalen abgerechnet werden. Zum Krankenhaus gehört zudem eine Abteilung für die Fachbereiche Psychiatrie, Psychotherapie und Psychosomatik (im Folgenden: psychiatrische Abteilung), deren Leistungen nach der Bundespflegesatzverordnung abgerechnet werden. Die psychiatrische Abteilung umfasst vier bettenführende Stationen, in denen insgesamt 93 Pflegekräfte, darunter die Klägerin, beschäftigt sind. Die dort behandelten Patienten benötigen insbesondere Unterstützung bei der Körperpflege, dem Toilettengang, der Mobilisation und der Nahrungsaufnahme. Im Jahr 2020 wurden sowohl auf den bettenführenden somatischen als auch den psychiatrischen Stationen Patienten behandelt, die mit dem Coronavirus SARS-CoV-2 infiziert waren. Da das Krankenhaus der Beklagten durch die Behandlung solcher Patienten besonders belastet war, erhielt es auf der Grundlage von § 26d Krankenhausfinanzierungsgesetz (KHG) im Frühjahr 2021 vom Spitzenverband Bund der Krankenkassen aus der Liquiditätsreserve des Gesundheitsfonds Mittel zur Auszahlung einer „erweiterten Sonderleistung an Pflegekräfte“ und andere Beschäftigte iHv. 718.989,60 Euro.;
8 AZR 318/22;Die Parteien streiten über einen Anspruch des Klägers auf Zahlung einer Entschädigung nach § 15 Abs. 2 AGG wegen eines Verstoßes gegen das Verbot der Diskriminierung aufgrund einer Schwerbehinderung im Rahmen eines Bewerbungsverfahrens. Der Beklagte ist ein Kirchenkreis der Evangelischen Kirche im Rheinland und als solcher eine Körperschaft des öffentlichen Rechts. Er schrieb für sein Verwaltungsamt eine Stelle in der Finanzbuchhaltung aus. Der Kläger bewarb sich unter Angabe seiner kaufmännischen Qualifikationen und seiner Schwerbehinderung auf diese Stelle. Eine Einladung zu einem Vorstellungsgespräch erfolgte nicht. Die Bewerbung hatte keinen Erfolg.;
2 AZR 55/23;Die Parteien streiten vorrangig über die Wirksamkeit einer außerordentlichen fristlosen Kündigung. Die Klägerin war seit 1988 in einem von der Beklagten betriebenen Krankenhaus beschäftigt, zuletzt als Pflegehelferin. Mit Schreiben vom 17. Dezember 2021 informierte die Beklagte alle betroffenen Mitarbeiter über die zum 16. März 2022 in Kraft tretende sog. einrichtungsbezogene Impfpflicht und bat um Vorlage der von § 20a Abs. 2 IfSG in der Fassung vom 10. Dezember 2021 (im Folgenden IfSG aF) verlangten Nachweise, darunter ggf. ein solcher, dass sie aufgrund einer medizinischen Kontraindikation nicht gegen das Coronavirus Sars-CoV-2 geimpft werden konnten.;
2 AZR 66/23;Orientierungssatz;1. Aus § 20a Abs 5 S 3 IfSG aF, der das Gesundheitsamt ermächtigte, gegenüber einer vor dem 16. März 2022 bereits beschäftigten Person ein Betretungs- bzw. Beschäftigungsverbot auszusprechen, ergab sich keine Sperrwirkung im Hinblick auf die außerordentliche Kündigung eines Arbeitsverhältnisses gemäß § 626 Abs 1 BGB. Vielmehr kamen nach der erklärten Vorstellung des Gesetzgebers bei einem Verstoß gegen die Nachweispflicht neben öffentlich-rechtlichen Sanktionen auch arbeitsrechtliche Konsequenzen in Betracht.(Rn.18)
5 AZR 137/23;Die Parteien streiten über Entgeltfortzahlung im Krankheitsfall. Der Kläger war seit März 2021 als Helfer bei der Beklagten, die ein Unternehmen der Arbeitnehmerüberlassung betreibt, mit einem Stundenlohn von 10,88 Euro brutto beschäftigt. Die wöchentliche Arbeitszeit betrug 35 Stunden. Nach arbeitsvertraglicher Vereinbarung war das Arbeitsentgelt spätestens am 15. Bankarbeitstag des Folgemonats zu zahlen. Die Beklagte setzte den Kläger seit dem 21. April 2022 nicht mehr ein. Der Kläger legte der Beklagten am 2. Mai 2022 eine Arbeitsunfähigkeitsbescheinigung vom selben Tag für die Zeit vom 2. bis zum 6. Mai 2022 vor. Mit Schreiben vom 2. Mai 2022, das dem Kläger am 3. Mai 2022 zuging, kündigte die Beklagte das Arbeitsverhältnis zum 31. Mai 2022. In einer Folgebescheinigung vom 6. Mai 2022 wurde Arbeitsunfähigkeit des Klägers bis zum 20. Mai 2022 und in einer weiteren Folgebescheinigung vom 20. Mai 2022 bis zum 31. Mai 2022 bescheinigt. Nach den vom Kläger im Prozess vorgelegten Arbeitsunfähigkeitsbescheinigungen beruhte die Arbeitsunfähigkeit auf der Diagnose nach ICD-10-Code J06.9. Die Arbeitsunfähigkeitsbescheinigung vom 20. Mai 2022 wies zudem die Diagnose nach ICD-10-Code R45.7 auf. Ab dem 1. Juni 2022 war der Kläger wieder arbeitsfähig und nahm eine neue Beschäftigung auf.;
5 AZR 168/23;Die Parteien streiten über die Höhe einer Zulage nach Aufstockung der Arbeitszeit der Klägerin auf Vollzeit. Die Klägerin war von April 1998 bis Juni 2007 bei der Beklagten in deren Krankenhaus als Diplom-Physikingenieurin in der Strahlentherapie beschäftigt. Anschließend wechselte sie mit gleicher Tätigkeit zu einem anderen Arbeitgeber, bei dem sie zuletzt in Teilzeit (50 %) eingesetzt war. Zum 1. Mai 2014 begründeten die Parteien erneut ein Arbeitsverhältnis, in dem die Klägerin als Diplom-Physikingenieurin in der Strahlentherapie mit der Hälfte der Arbeitszeit einer Vollbeschäftigten arbeiten sollte. Arbeitsvertraglich wurde die Geltung des Bundes-Angestellten-Tarifvertrags in kirchlicher Fassung (BAT-KF) und eine Vergütung nach dessen Entgeltgruppe 14 vereinbart. Darüber hinaus erhält die Klägerin - im schriftlichen Arbeitsvertrag nicht festgehalten - seit Beginn des Arbeitsverhältnisses monatlich 250,00 Euro brutto, die in den Gehaltsabrechnungen als „Leistungszulage“ ausgewiesen werden. Damit sollte die Differenz zwischen der von der Klägerin bei ihrem vorherigen Arbeitgeber erzielten Monatsvergütung und derjenigen, welche die Beklagte ihr bei Anwendung des BAT-KF für eine entsprechende Teilzeitbeschäftigung anbieten konnte, ausgeglichen werden. Ohne einen solchen Ausgleich war die Klägerin nicht bereit, zur Beklagten zurückzukehren.;
9 AZR 364/22;Die Parteien streiten über Urlaubsabgeltung aus dem Jahr 2020 und in diesem Zusammenhang insbesondere über die Urlaubsberechnung bei zeitlicher Überschneidung von Krankheit und Kurzarbeit „null“. Der Kläger war vom 1. Mai 2018 bis zum 31. Januar 2021 bei der Beklagten als Mitarbeiter in der Betriebsschlosserei mit einer wöchentlichen Arbeitszeit von 40 Stunden und einer monatlichen Bruttovergütung iHv. 2.500,00 Euro beschäftigt. Sein Jahresurlaub betrug 29 Arbeitstage in einer Fünftagewoche. Der Kläger war ausweislich einer am 19. März 2020 ausgestellten Arbeitsunfähigkeitsbescheinigung in der Zeit vom 20. März bis zum 27. März 2020 arbeitsunfähig krank. Aus Anlass eines durch die Corona-Pandemie bedingten Arbeitsausfalls trafen die Parteien unter dem 23. März 2020 als Ergänzung zum bestehenden Arbeitsvertrag eine Vereinbarung über Kurzarbeit, in der es ua. heißt:;
8 AZR 164/22;Die Parteien streiten über einen Anspruch der klagenden Partei auf Zahlung einer Entschädigung nach § 15 Abs. 2 AGG wegen eines Verstoßes gegen das Verbot der Diskriminierung wegen des Geschlechts und einer Behinderung. Die schwerbehinderte klagende Partei wurde zweigeschlechtlich geboren und bezeichnet sich als Hermaphrodit. Mit einer E-Mail vom 16. September 2019 bewarb sie sich unter Angabe der Schwerbehinderung auf eine Stellenausschreibung der beklagten Stadt, mit der diese für ihre Ausländerbehörde „Fallmanager*innen im Aufenthaltsrecht“ suchte und dabei mitteilte, dass „schwerbehinderte Bewerberinnen und Bewerber“ gleicher Eignung und Qualifikation bevorzugt behandelt würden. In ihrer Bewerbung bat die klagende Partei im Rahmen des Auswahlverfahrens die Anrede „Sehr geehrte* Herm F“ zu verwenden. Die Abkürzung „Herm“ stehe für die ersten vier Buchstaben von Hermaphrodit.;
7 AZR 338/22;"Die Parteien streiten über die Zahlung eines Nettoentgeltbetrags, den die Beklagte vom Arbeitseinkommen des Klägers für Dezember 2020 einbehalten hat. Der nicht unterhaltsverpflichtete Kläger ist bei der Beklagten - einem Nahverkehrsunternehmen - als Busfahrer beschäftigt und Mitglied des Betriebsrats. Dieser beschloss Ende Oktober 2019, den Kläger ua. zu den Schulungen „Arbeitsrecht Teil 3“ vom 4. bis 8. Mai 2020 in B und „Der gläserne Mitarbeiter“ vom 19. bis 23. Oktober 2020 in D zu entsenden. Dem widersprach die Beklagte in einem an den Betriebsrat gerichteten Schreiben vom 16. März 2020 und führte aus, sie erteile „keine Genehmigung zur Teilnahme an den Seminaren“. Zum einen sei aufgrund der „aktuellen Situation (Corona) … die Reisetätigkeit bis auf Weiteres beschränkt“. Zum anderen betreffe das „Thema Datenschutz … alle Mitglieder des Betriebsrates“; sie schlage daher eine „Inhouse-Schulung durch unseren Datenschutzbeauftragten“ vor.";
5 AZR 22/23;Die Parteien streiten über Vergütung wegen Annahmeverzugs und - im Wege der Feststellungsklage - über die für ihr Arbeitsverhältnis ab dem Jahr 2020 maßgebliche Arbeitszeit. Die Klägerin ist seit Juli 2009 bei der Beklagten bzw. deren Rechtsvorgängerin als Mitarbeiterin auf Abruf beschäftigt. Ihr Stundenlohn betrug im Streitzeitraum zunächst 15,59 Euro brutto, ab August 2021 15,74 Euro brutto. Der von der Klägerin mit der P GmbH geschlossene Arbeitsvertrag vom 20. Juli 2009 lautet auszugsweise:;
2 AZR 306/22;Die Parteien streiten noch über einen Auflösungsantrag der Beklagten sowie Anträge der Klägerin auf Auskunft, Zahlung, Feststellung und Ehrschutz. Die Klägerin war bei der Beklagten seit Mai 2009 als Rechtsanwältin (Associate) angestellt. Associates, die von der Beklagten nach dem vierten bis fünften Beschäftigungsjahr nicht zum Assoziierten Partner bzw. Counsel befördert werden, verlassen in der Regel die Sozietät. In den Jahren 2009 bis 2015 beschäftigte die Beklagte bis auf die Klägerin keinen Associate, der länger als fünf Jahre bei ihr - der Beklagten - tätig war. Die jährliche Grundvergütung der Klägerin wurde in den Jahren 2010 bis 2013 jeweils um zumindest 5.000,00 Euro brutto erhöht. Andere Associates erhielten zum Teil Boni auf Grundlage der von ihnen erzielten Umsätze.;
2 AZR 5/22;Auflösung II. Das Landesarbeitsgericht hat ohne Rechtsfehler zulasten der Klägerin das Arbeitsverhältnis der Parteien auf den Antrag der Beklagten nach § 9 Abs. 1 Satz 2 und Abs. 2 KSchG zum 31. Juli 2015 gegen Zahlung einer Abfindung aufgelöst. a) Nach den gemäß § 9 KSchG maßgeblichen Annahmen des Berufungsgerichts war die im betrieblichen Geltungsbereich des Kündigungsschutzgesetzes (§ 23 Abs. 1 KSchG) erklärte ordentliche Kündigung vom 2. April 2015 sozialwidrig (§ 1 Abs. 2 KSchG).;1. Der Auflösungsantrag der Beklagten ist „statthaft“.
2 AZR 240/19;;
9 AZR 43/22;Die Parteien streiten über Urlaubsabgeltung aus den Jahren 2019 und 2020. Zunächst war die Klägerin seit dem 1. Juli 1993 als Arbeitnehmerin bei der Z GmbH H beschäftigt. Ab dem 19. April 2012 war sie als „Geschäftsführerin“ der Beklagten angestellt, zuletzt aufgrund Dienstvertrags vom 26. Mai 2016 zu einem durchschnittlichen Bruttomonatsgehalt iHv. 6.454,00 Euro. Die Klägerin wurde seit 2018 in einer Geschäftsstelle der zur Unternehmensgruppe der Beklagten gehörenden Z GmbH H in M eingesetzt. Auf der Grundlage einer Vereinbarung vom 26. Oktober 2018 übernahm die Beklagte für die Z GmbH H bestimmte entgeltliche Dienstleistungs- und Beratungstätigkeiten und stellte dieser dazu „ihre Geschäftsführerin … im erforderlichen Umfang für den o.g. Tätigkeitsbereich zur Verfügung“. Nach Anweisung der Geschäftsführung hatte die Klägerin eine Arbeitszeit von 07:00 Uhr bis 18:00 Uhr einzuhalten. Vormittags musste sie am Telefon eine sog. „Kaltakquise“ durchführen, am Nachmittag hatte sie in eigener Initiative Leistungen anzubieten und wurde im Außendienst, zu Kundenbesuchen und mit Kontroll- und Überwachungsaufgaben eingesetzt. Sie hatte wöchentlich 40 Telefonate und 20 Besuche nachzuweisen. Außerdem führte sie Vorstellungsgespräche und Einstellungsverhandlungen. Die Parteien vereinbarten zudem die Zahlung einer vom Ergebnis der Geschäftsstelle M abhängigen Tantieme.;
6 AZR 161/22;Die Parteien streiten über einen Anspruch der Klägerin auf eine Entgeltgruppenzulage für die Tätigkeit als Leiterin einer Grundschule. Die Klägerin ist bei dem beklagten Freistaat (im Folgenden Beklagter) seit 1991 als Lehrerin angestellt. Seit 2009 wird sie als Leiterin einer Grundschule beschäftigt, an der mehr als 120 und weniger als 360 Schüler unterrichtet werden. Auf das Arbeitsverhältnis der Parteien finden kraft arbeitsvertraglicher Bezugnahme der Tarifvertrag für den öffentlichen Dienst der Länder (TV-L) sowie die diesen ergänzenden Tarifverträge in der jeweils geltenden Fassung Anwendung. Nach § 44 Nr. 2a TV-L iVm. § 1 des Tarifvertrags über die Eingruppierung und die Entgeltordnung für die Lehrkräfte der Länder (TV EntgO-L) vom 28. März 2015 idF des Änderungstarifvertrags Nr. 3 vom 2. März 2019 gelten für Lehrkräfte an allgemeinbildenden und berufsbildenden Schulen Sonderregelungen. § 12 TV-L idF des § 3 TV EntgO-L lautet wie folgt:;
